user_id,session_count,avg_session_duration,pageviews,bounce_rate,country,device,revenue
68,3,402,8,37.48,India,Tablet,22.18
69,5,301,7,49.82,Germany,Tablet,8.09
70,8,263,6,33.71,India,Desktop,35.67
71,4,290,5,21.33,Germany,Tablet,30.86
72,1,368,3,56.76,Germany,Desktop,115.51
73,3,267,5,51.28,Germany,Desktop,132.97
74,0,260,3,49.04,India,Mobile,24.19
75,0,275,3,57.08,UK,Mobile,33.84
76,2,252,7,53.76,India,Mobile,113.28
77,4,306,4,30.29,UK,Mobile,82.18
78,1,381,4,37.62,UK,Desktop,0.18
79,5,316,6,26.31,Germany,Tablet,19.29
80,3,287,6,26.49,India,Mobile,27.39
81,0,285,3,53.81,UK,Mobile,13.05
82,4,221,4,62.93,Canada,Mobile,11.13
83,1,344,6,68.14,UK,Tablet,1.93
84,6,296,6,51.42,Canada,Mobile,51.55
85,3,290,6,29.21,India,Tablet,15.23
86,1,459,6,25.28,India,Desktop,2.69
87,1,314,3,60.64,India,Desktop,13.13
88,0,262,5,48.94,UK,Desktop,80.95
89,3,278,2,50.91,USA,Tablet,95.35
90,2,357,5,59.07,UK,Mobile,32.99
91,4,305,3,55.16,UK,Mobile,26.9
92,5,228,3,61.72,Germany,Mobile,190.5
93,1,345,5,22.81,Germany,Mobile,11.19
94,0,266,11,57.38,UK,Mobile,12.13
95,5,393,7,62.54,Canada,Tablet,17.26
96,5,354,7,34.31,Germany,Desktop,9.48
97,1,277,4,52.02,UK,Mobile,23.85
98,0,364,1,35.71,USA,Desktop,120.86
99,2,303,4,67.9,Canada,Tablet,47.77
100,2,342,5,21.67,India,Tablet,26.55
101,2,324,4,48.99,UK,Mobile,136.22
102,6,257,4,28.33,UK,Tablet,2.48
103,6,267,7,55.61,Canada,Desktop,11.8
104,5,351,6,28.79,Germany,Mobile,41.72
105,5,283,8,31.77,Germany,Mobile,47.8
106,0,279,4,44.72,Germany,Desktop,2.02
107,2,252,3,65.74,India,Mobile,25.8
108,5,321,0,30.59,Canada,Mobile,52.37
109,5,403,4,27.21,Canada,Desktop,59.88
110,1,246,1,57.95,Germany,Mobile,50.82
111,4,301,4,45.03,Germany,Mobile,19.32
112,3,370,3,65.59,USA,Desktop,4.91
113,2,296,5,27.33,USA,Tablet,27.85
114,2,322,6,52.3,UK,Desktop,6.89
115,2,246,6,31.64,UK,Mobile,147.47
116,6,321,4,27.84,Canada,Desktop,32.23
117,4,290,4,54.17,Canada,Mobile,19.08
118,1,349,5,49.68,India,Mobile,72.69
119,1,359,1,57.74,India,Desktop,34.45
120,1,429,9,35.47,USA,Mobile,18.56
121,5,328,7,42.4,UK,Tablet,83.56
122,3,316,5,40.27,USA,Mobile,100.93
123,1,309,4,69.2,USA,Desktop,55.89
124,3,282,5,34.61,UK,Tablet,2.41
125,6,316,4,34.74,India,Tablet,41.77
126,2,285,1,37.73,UK,Mobile,72.05
127,5,308,3,48.23,Germany,Desktop,7.34
128,2,365,7,32.62,Germany,Mobile,12.98
129,1,249,6,65.76,Germany,Mobile,107.06
130,7,356,10,33.28,Canada,Desktop,1.02
131,8,365,4,64.79,India,Desktop,69.86
132,0,294,5,25.17,India,Mobile,32.1
133,3,193,6,52.83,Canada,Tablet,29.6
134,6,269,6,65.35,USA,Mobile,0.36
135,1,364,8,28.44,Germany,Tablet,85.57
136,9,298,4,68.42,Germany,Mobile,22.3
137,3,250,3,42.64,USA,Desktop,38.91
138,3,274,3,67.29,UK,Tablet,56.55
139,6,342,9,53.84,UK,Desktop,60.64
140,2,327,7,35.08,India,Desktop,156.16
141,0,288,2,29.42,Canada,Desktop,37.89
142,4,281,2,35.19,India,Desktop,25.52
143,0,280,4,24.65,UK,Desktop,153.63
144,3,253,6,27.19,USA,Mobile,51.38
145,5,380,9,25.23,India,Tablet,17.7
146,5,283,11,41.15,Germany,Mobile,6.76
147,4,360,4,59.78,Germany,Mobile,92.43
148,1,376,7,27.07,USA,Mobile,22.49
149,1,349,7,26.52,UK,Desktop,54.01
150,1,278,3,52.17,Germany,Mobile,31.82
151,2,320,7,29.86,Germany,Tablet,11.09
152,3,298,5,24.88,Canada,Mobile,46.03
153,1,254,2,28.34,India,Desktop,3.13
154,1,316,9,66.19,UK,Tablet,26.67
155,1,241,6,61.07,India,Tablet,39.55
156,2,359,3,37.7,UK,Tablet,28.64
157,3,276,6,52.79,Germany,Tablet,69.05
158,2,310,3,46.86,Canada,Mobile,87.99
159,2,314,2,53.86,India,Desktop,73.75
160,3,287,8,54.13,Germany,Tablet,1.98
161,2,329,4,51.44,UK,Tablet,10.79
162,4,276,5,33.31,India,Desktop,38.46
163,4,343,4,21.95,India,Mobile,136.53
164,1,232,3,42.78,Germany,Tablet,90.08
165,2,306,4,64.55,India,Mobile,92.43
166,1,396,3,48.47,Canada,Mobile,18.06
167,2,249,11,61.62,Canada,Mobile,28.06
168,3,266,6,69.58,Germany,Mobile,31.81
169,2,325,5,28.18,UK,Tablet,8.56
170,4,308,5,54.59,Germany,Tablet,1.58
171,3,317,5,53.71,Canada,Mobile,146.78
172,4,324,3,69.0,USA,Mobile,13.77
173,1,331,6,69.28,USA,Desktop,13.72
174,1,355,4,54.33,India,Desktop,4.35
175,1,320,5,32.18,India,Desktop,131.91
176,2,287,3,59.93,USA,Tablet,43.34
177,2,333,7,25.35,Canada,Desktop,54.99
178,5,394,3,59.03,India,Tablet,121.28
179,5,293,6,65.51,Germany,Tablet,21.2
180,2,251,7,39.14,Germany,Tablet,48.58
181,2,355,1,51.53,Canada,Tablet,1.98
182,3,293,6,41.51,India,Desktop,10.34
183,2,191,4,41.89,Germany,Mobile,88.97
184,1,342,2,35.52,India,Mobile,72.79
185,2,273,2,58.11,India,Mobile,21.59
186,5,295,5,66.81,Germany,Desktop,23.65
187,5,316,5,67.04,USA,Mobile,38.13
188,3,309,3,28.74,Germany,Desktop,0.01
189,4,335,5,63.74,Canada,Desktop,13.8
190,1,278,11,56.87,UK,Desktop,11.67
191,3,325,2,32.64,Germany,Mobile,14.42
192,4,287,6,23.36,India,Mobile,81.97
193,3,336,5,33.4,India,Mobile,16.4
194,3,330,3,65.61,Germany,Tablet,10.63
195,3,253,4,51.66,UK,Desktop,35.09
196,3,354,10,56.05,Germany,Tablet,100.36
197,5,273,1,32.86,UK,Desktop,13.81
198,3,340,8,55.97,UK,Mobile,4.09
199,5,318,3,21.41,Canada,Desktop,22.03
200,2,391,5,38.77,India,Desktop,68.85
201,2,288,4,51.34,India,Tablet,40.0
202,5,282,11,27.3,UK,Desktop,84.86
203,3,299,3,61.15,India,Mobile,160.44
204,3,284,4,31.75,USA,Desktop,78.67
205,3,339,3,52.61,UK,Desktop,46.29
206,6,219,3,40.26,India,Desktop,34.0
207,6,247,8,49.8,USA,Tablet,2.04
208,3,246,1,25.37,Canada,Desktop,207.77
209,5,347,5,20.85,India,Desktop,24.18
210,2,385,7,65.48,USA,Tablet,8.26
211,4,294,3,33.48,Germany,Tablet,54.94
212,3,291,7,60.98,Germany,Tablet,16.72
213,2,303,5,69.97,USA,Tablet,44.07
214,4,358,7,30.57,UK,Mobile,44.19
215,1,253,5,33.26,UK,Mobile,29.51
216,3,311,7,53.14,India,Desktop,90.43
217,1,348,5,68.27,Germany,Mobile,15.39
218,3,325,4,65.79,UK,Desktop,29.77
219,3,309,5,45.14,UK,Mobile,38.58
220,1,350,11,59.76,Germany,Tablet,54.48
221,2,164,7,26.79,Canada,Tablet,76.62
222,4,333,6,68.87,UK,Mobile,25.11
223,2,267,3,68.22,USA,Mobile,51.93
224,5,208,0,28.19,India,Desktop,8.16
225,0,325,10,34.97,UK,Desktop,134.89
226,3,368,5,25.01,UK,Desktop,24.15
227,2,293,5,33.59,Canada,Tablet,65.38
228,0,347,3,60.8,USA,Tablet,1.03
229,2,380,4,38.92,India,Tablet,11.48
230,2,365,2,24.42,UK,Tablet,33.38
231,4,381,2,37.11,India,Desktop,105.29
232,2,337,7,69.07,Germany,Tablet,37.46
233,1,303,3,51.48,UK,Tablet,132.87
234,1,219,1,40.81,UK,Tablet,33.06
235,0,287,3,28.33,Germany,Tablet,33.71
236,2,257,7,69.31,Canada,Mobile,6.38
237,4,408,5,61.04,UK,Desktop,81.14
238,3,291,5,34.07,India,Desktop,14.18
239,5,306,4,23.5,USA,Tablet,114.94
240,5,327,5,22.83,India,Mobile,120.86
241,3,302,5,26.02,Canada,Desktop,143.51
242,4,384,3,49.04,USA,Desktop,36.72
243,1,268,3,66.44,India,Tablet,56.52
244,3,309,6,44.84,India,Tablet,75.37
245,4,262,6,62.15,Germany,Desktop,7.02
246,4,233,4,42.29,Canada,Desktop,45.93
247,3,269,9,55.43,Germany,Mobile,1.74
248,2,298,6,56.59,USA,Desktop,34.41
249,2,278,5,28.7,Germany,Desktop,8.41
250,3,265,5,38.06,Canada,Tablet,10.1
251,3,229,4,51.87,UK,Desktop,22.71
252,4,295,10,23.53,UK,Tablet,28.32
253,0,224,6,38.08,USA,Desktop,48.8
254,2,338,2,46.74,UK,Desktop,3.87
255,4,304,4,69.81,Germany,Desktop,35.03
256,2,227,3,43.73,USA,Mobile,10.08
257,4,284,2,60.8,Canada,Tablet,42.66
258,3,262,5,41.6,USA,Mobile,50.72
259,2,315,6,59.82,USA,Desktop,40.68
260,3,367,5,49.77,India,Mobile,67.03
261,7,206,10,64.33,India,Tablet,20.44
262,3,305,5,40.55,USA,Desktop,72.43
263,5,291,5,50.22,UK,Mobile,28.35
264,8,333,4,51.5,India,Mobile,33.1
265,1,310,4,40.87,Canada,Tablet,52.22
266,2,262,3,27.22,Germany,Mobile,0.93
267,2,284,6,24.68,India,Tablet,53.06
268,1,260,4,20.83,USA,Desktop,48.19
269,3,353,2,63.68,UK,Desktop,18.54
270,4,301,9,31.82,Germany,Mobile,4.48
271,1,395,5,30.58,India,Desktop,4.77
272,7,296,9,56.8,UK,Desktop,128.34
273,6,264,5,36.0,UK,Mobile,58.44
274,2,224,5,45.3,UK,Desktop,6.8
275,2,209,1,28.13,USA,Mobile,22.06
276,1,220,5,67.99,Canada,Tablet,44.88
277,0,313,8,62.58,UK,Tablet,90.26
278,4,325,6,63.19,Germany,Tablet,2.23
279,3,220,2,40.34,India,Mobile,13.5
280,4,344,5,58.12,Germany,Mobile,110.25
281,5,275,5,27.19,USA,Desktop,0.46
282,1,307,4,20.43,USA,Desktop,11.24
283,1,380,6,21.0,Germany,Desktop,159.74
284,2,344,5,49.33,Canada,Desktop,47.52
285,6,286,6,42.77,USA,Desktop,15.17
286,3,255,5,45.9,USA,Mobile,3.47
287,3,192,4,20.37,Germany,Mobile,1.43
288,2,264,7,41.13,USA,Tablet,14.03
289,6,289,5,55.9,Canada,Tablet,106.64
290,1,250,7,42.13,Canada,Tablet,26.89
291,3,293,6,56.61,Canada,Tablet,63.71
292,1,303,4,31.65,India,Mobile,125.23
293,2,288,8,60.66,Canada,Mobile,26.22
294,4,267,4,49.42,Canada,Mobile,10.61
295,5,308,3,30.54,India,Desktop,36.4
296,8,322,5,31.84,UK,Desktop,119.34
297,2,245,10,51.4,USA,Tablet,81.58
298,2,370,6,61.5,Canada,Desktop,3.4
299,4,295,4,40.78,USA,Mobile,58.98
300,0,300,3,32.92,Germany,Tablet,42.42
301,4,335,3,63.35,USA,Tablet,119.01
302,3,311,5,53.46,India,Desktop,6.53
303,6,347,2,42.4,USA,Tablet,38.18
304,2,314,6,44.4,USA,Desktop,105.79
305,2,269,2,30.21,USA,Desktop,26.38
306,3,318,5,51.34,UK,Tablet,32.89
307,6,242,2,37.94,UK,Desktop,3.65
308,0,305,6,69.78,Germany,Desktop,16.3
309,4,298,3,44.01,India,Desktop,19.62
310,4,289,5,44.29,USA,Desktop,145.13
311,3,293,2,48.29,USA,Tablet,16.61
312,4,205,6,65.84,USA,Mobile,30.89
313,4,272,6,60.04,USA,Mobile,55.63
314,4,304,7,42.56,UK,Desktop,8.85
315,1,307,6,55.93,Germany,Desktop,33.32
316,5,248,6,49.31,Canada,Desktop,67.07
317,6,363,4,44.62,India,Mobile,100.82
318,0,256,4,29.62,USA,Desktop,49.21
319,4,348,7,43.2,Germany,Tablet,55.29
320,2,321,5,32.29,Canada,Tablet,6.75
321,2,267,5,65.74,Germany,Tablet,145.73
322,3,388,8,36.77,UK,Mobile,7.11
323,1,240,4,67.61,Canada,Desktop,74.51
324,1,345,2,46.65,Germany,Desktop,15.38
325,5,350,3,51.58,UK,Desktop,135.6
326,0,266,4,47.15,Germany,Mobile,63.64
327,2,369,6,26.47,Germany,Mobile,70.08
328,3,287,9,38.79,Canada,Mobile,12.36
329,2,314,3,24.96,UK,Mobile,29.26
330,2,313,5,51.15,USA,Tablet,48.09
331,1,293,3,42.34,India,Mobile,73.48
332,1,340,2,58.9,Canada,Mobile,5.49
333,3,339,4,31.02,UK,Mobile,163.99
334,1,212,9,28.23,Germany,Desktop,110.46
335,2,365,4,40.32,UK,Desktop,15.76
336,0,216,5,66.33,India,Desktop,86.51
337,1,351,8,55.52,India,Tablet,36.52
338,7,356,8,40.95,USA,Tablet,30.98
339,6,245,5,45.86,USA,Mobile,18.88
340,1,279,3,24.21,India,Desktop,43.49
341,1,244,9,69.23,Canada,Tablet,65.45
342,4,289,2,53.32,Canada,Desktop,26.46
343,5,284,8,34.27,Germany,Tablet,49.61
344,5,338,7,49.29,USA,Tablet,60.08
345,0,365,6,25.47,Germany,Mobile,62.09
346,5,369,9,68.29,USA,Mobile,2.67
347,3,271,3,28.74,India,Tablet,98.22
348,7,289,6,52.4,Canada,Mobile,30.65
349,3,215,7,32.27,Canada,Tablet,15.22
350,3,259,7,55.88,India,Tablet,13.84
351,3,348,5,58.84,Germany,Desktop,32.99
352,4,380,5,53.67,Germany,Mobile,108.94
353,4,238,1,50.72,UK,Mobile,23.77
354,3,270,7,64.62,USA,Mobile,69.26
355,3,298,4,23.93,Germany,Desktop,5.09
356,3,314,7,36.55,India,Desktop,32.32
357,2,259,5,32.41,Germany,Desktop,239.49
358,4,321,5,69.4,Canada,Mobile,73.58
359,1,276,3,39.47,USA,Mobile,11.82
360,0,299,5,56.63,UK,Mobile,34.8
361,7,327,5,54.24,USA,Desktop,13.3
362,1,300,4,30.6,Canada,Desktop,26.34
363,1,278,3,31.95,Canada,Tablet,75.73
364,1,294,3,34.06,Canada,Desktop,73.75
365,3,295,5,40.56,Canada,Tablet,12.95
366,1,281,10,31.72,India,Mobile,127.7
367,3,287,2,20.98,UK,Desktop,44.89
368,6,379,5,63.97,Canada,Mobile,23.9
369,1,328,3,68.28,Canada,Mobile,34.85
370,2,285,4,37.08,Germany,Mobile,46.45
371,3,334,6,36.93,UK,Mobile,41.04
372,3,283,3,20.35,USA,Desktop,33.32
373,7,358,4,54.01,UK,Mobile,35.15
374,5,318,4,61.27,UK,Tablet,9.7
375,2,294,5,27.33,UK,Desktop,83.76
376,1,322,8,27.98,Canada,Mobile,39.02
377,7,221,5,59.5,Canada,Desktop,7.03
378,5,243,6,50.81,India,Tablet,72.66
379,3,240,3,22.24,USA,Mobile,134.74
380,2,307,4,51.13,Germany,Tablet,147.16
381,3,386,5,35.45,UK,Mobile,23.02
382,2,411,6,38.44,USA,Tablet,7.28
383,4,331,7,58.49,USA,Mobile,36.53
384,3,325,5,60.55,India,Desktop,5.97
385,3,209,2,40.02,Germany,Mobile,135.9
386,6,272,6,67.36,UK,Desktop,10.14
387,1,260,4,40.32,Germany,Mobile,14.57
388,4,268,2,58.59,India,Mobile,26.1
389,2,291,4,44.19,Canada,Tablet,24.16
390,2,276,2,64.88,USA,Tablet,79.16
391,3,201,3,65.39,UK,Tablet,30.47
392,3,337,4,24.37,Canada,Mobile,9.36
393,1,246,7,66.82,India,Mobile,15.54
394,3,311,5,61.28,Germany,Mobile,35.58
395,2,403,5,59.57,USA,Desktop,7.98
396,4,254,7,30.05,UK,Desktop,47.29
397,6,173,9,60.26,Canada,Mobile,41.71
398,5,285,7,62.51,Canada,Tablet,62.71
399,5,355,6,34.46,USA,Tablet,138.79
400,3,397,6,67.61,Germany,Tablet,121.67
401,3,238,9,22.49,India,Mobile,146.01
402,0,324,2,27.5,Germany,Tablet,14.03
403,3,276,3,46.88,Germany,Mobile,7.05
404,4,294,9,48.79,Germany,Desktop,18.0
405,6,432,3,52.26,USA,Tablet,112.73
406,2,224,8,20.85,USA,Desktop,178.87
407,1,312,5,68.02,India,Tablet,98.07
408,2,323,4,22.23,Germany,Mobile,5.83
409,2,354,9,27.15,USA,Mobile,147.28
410,1,304,2,20.7,India,Mobile,27.53
411,2,315,5,48.34,India,Mobile,0.47
412,5,280,10,66.61,Germany,Tablet,29.21
413,6,313,5,53.3,UK,Desktop,2.36
414,4,282,4,61.13,Germany,Mobile,39.25
415,2,331,7,20.66,UK,Tablet,20.67
416,5,281,3,47.1,India,Desktop,32.07
417,4,318,6,42.98,USA,Mobile,47.49
418,3,298,3,44.95,Canada,Desktop,101.55
419,4,356,3,23.61,India,Mobile,54.22
420,0,297,4,54.22,USA,Desktop,28.46
421,2,211,1,45.16,India,Desktop,85.58
422,2,363,2,58.26,Germany,Mobile,118.0
423,3,254,4,44.26,UK,Tablet,6.38
424,5,267,5,27.47,India,Desktop,37.96
425,3,270,8,52.41,USA,Mobile,16.74
426,5,368,7,28.62,Germany,Desktop,2.41
427,2,193,7,63.62,Canada,Desktop,55.21
428,4,456,2,50.66,Germany,Tablet,99.31
429,5,352,6,27.86,UK,Desktop,8.89
430,2,311,8,68.12,Germany,Desktop,83.68
431,1,297,6,45.92,Canada,Mobile,96.0
432,0,314,4,23.64,USA,Mobile,122.87
433,4,326,4,51.34,India,Tablet,15.41
434,3,332,4,32.66,UK,Desktop,117.15
435,4,327,1,60.18,Canada,Desktop,19.33
436,1,304,6,60.89,UK,Desktop,40.19
437,1,290,8,68.95,Germany,Tablet,2.59
438,2,292,7,45.09,UK,Desktop,2.24
439,2,290,7,42.75,Canada,Mobile,63.71
440,1,356,6,57.67,India,Tablet,29.39
441,2,329,6,26.62,India,Mobile,14.81
442,5,152,4,47.35,UK,Mobile,10.56
443,2,332,3,47.31,USA,Tablet,55.43
444,3,309,6,24.47,UK,Mobile,0.02
445,4,299,3,40.9,Germany,Desktop,81.97
446,2,280,10,62.66,India,Tablet,4.13
447,2,356,5,62.81,India,Mobile,10.63
448,2,347,6,24.96,India,Desktop,24.41
449,5,261,6,24.54,USA,Desktop,33.17
450,3,320,4,33.13,USA,Mobile,21.92
451,2,251,6,63.74,Canada,Desktop,19.34
452,4,231,5,26.45,UK,Tablet,166.1
453,7,268,3,56.0,UK,Mobile,51.3
454,1,343,2,25.06,Germany,Desktop,1.19
455,7,347,3,51.16,India,Desktop,28.12
456,3,325,2,37.8,USA,Mobile,103.98
457,1,336,8,59.45,Germany,Mobile,17.94
458,2,325,7,31.68,Germany,Mobile,4.97
459,1,267,4,51.96,USA,Mobile,71.02
460,4,321,3,31.78,UK,Tablet,46.57
461,3,340,3,55.68,India,Mobile,42.23
462,2,337,6,63.68,UK,Tablet,2.75
463,1,359,5,26.34,Germany,Tablet,7.57
464,2,335,1,63.33,India,Mobile,48.72
465,3,317,8,49.68,Canada,Tablet,11.65
466,3,353,9,26.36,Germany,Mobile,35.07
467,1,298,4,41.38,UK,Mobile,39.36
468,7,255,7,28.04,UK,Desktop,16.67
469,2,291,3,55.02,UK,Mobile,148.24
470,3,262,7,57.94,USA,Desktop,92.41
471,4,266,5,25.29,Germany,Tablet,64.07
472,3,292,6,45.31,India,Desktop,4.06
473,6,260,8,60.73,UK,Tablet,5.61
474,5,284,2,66.81,UK,Mobile,33.94
475,2,205,4,45.68,USA,Tablet,8.76
476,1,310,9,67.51,India,Tablet,191.44
477,5,300,4,46.78,Germany,Mobile,8.63
478,3,259,4,39.71,Canada,Tablet,33.42
479,5,332,3,62.41,USA,Mobile,22.64
480,1,346,4,44.65,Germany,Desktop,51.0
481,3,219,4,43.6,Canada,Mobile,6.91
482,3,261,6,44.52,UK,Mobile,28.13
483,3,261,7,62.34,UK,Tablet,16.06
484,2,253,3,61.6,India,Desktop,109.35
485,1,341,6,40.18,Canada,Mobile,2.07
486,4,290,8,36.66,UK,Desktop,122.51
487,1,286,7,44.6,UK,Desktop,89.49
488,7,199,3,48.64,India,Tablet,17.66
489,2,331,4,31.92,Germany,Mobile,77.86
490,3,238,6,59.7,UK,Tablet,1.59
491,3,302,8,44.32,USA,Mobile,170.36
492,6,313,3,36.7,USA,Desktop,37.39
493,2,368,4,25.34,Germany,Mobile,18.07
494,1,234,3,31.94,Canada,Mobile,22.52
495,5,149,8,67.46,India,Desktop,3.44
496,2,309,1,35.25,USA,Desktop,227.11
497,6,390,3,28.44,USA,Mobile,2.0
498,3,361,7,43.03,Germany,Tablet,53.2
499,4,310,5,35.35,Canada,Mobile,29.24
500,2,275,9,21.76,Canada,Desktop,148.71
